"complaint","department"
"public health concerns are rising due to poor waste disposal near Model Town.","Health"
"I feel helpless because water supply to the local market has become very irregular for the past few hours","Water Supply"
"I am writing to report that the road divider near Nehru Colony is broken and dangerous for drivers. Please send someone to fix this soon.","Roads"
"Kindly note that the local train service near the local market has been delayed since last week.","Transport"
"Hello, the local train service near the college road has been delayed continuously since last night.","Transport"
"street light poles in the highway junction are sparking   at night.","Electricity"
"a huge pile of garbage has accumulated near the park area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Sanitation"
"we are suffering a lot because street light poles in the hospital area are sparking at night. we need a permanent solution to this problem.","Electricity"
"Kindly note that a large pothole near Sector 12 caused an accident yesterday.","Roads"
"the bus conductor near the residential block was rude to passengers","Transport"
"Could you please look into the issue that the electricity bill for the water tank area shows incorrect meter reading?","Electricity"
"It is so painful to see that road maintenance near the panchayat office area has not been done for several days. Waiting for a quick response from your side.","Roads"
"Hi team, the water tanker never arrives on time in the flyover","Water Supply"
"Sir just want to say the road near MG Road has DEVELOPED deep cracks.","Roads"
"This is to formally inform you that the local train service near the apartment complex has been delayed since the rains started. Regards.","Transport"
"we suspect sewage is mixing with drinking water supply in Gandhi Nagar.","Water Supply"
"Could you please look into the issue that stray animals are scattering garbege all over the water tank area? Please look into this matter as soon as possible.","Sanitation"
"I am really frustrated that the borewell near the local market has stopped working since last week. We need a permanent solution to this problm.","Water Supply"
"a chain snatching incident occurred near our lane yesterday.","Police"
"Sir just want to say the road near our block has developed deep cracks","Roads"
"construction debris has been left on the road near our colony for the last month.","Roads"
"To whoever reads this, construction debris has been left on the road near the housing society since last week","Roads"
"COULD you please look into the issue that the sewage pipeline near our block has been leaking since Monday? Please send someone to fix this soon.","Drainage"
"This is to formally inform you that traffic violations are common near our village and no one is checking. Hope to see quick action on this.","Police"
"illegal parking near the bus stand area is causing trouble for residents. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible","Police"
"Please resolve this on priority basis. the road near the industrial area has developed deep cracks. Please take strict action against those responsible.","Roads"
"the transformer near Nehru Colony is damaged and sparking since morning.","Electricity"
"there has been no electricity supply in the local market for ALMOST 10 days.","Electricity"
"it is so painful to see that the bus stop near our street has been broken since last week.","Transport"
"It is so painful to see that residents of our lane have not received drinking water since morning. REQUESTING immediate action from your department.","Water Supply"
"This is to formally inform you that sewage is overflowing onto the street near the bridge area.","Drainage"
"I wish to lodge a complaint regarding the fact that the buses passing through Sector 12 are dangerously overcrowded. Kindly resolve this issue at the earliest.","Transport"
"the water pipe near the bus stand area burst and is flooding the street. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department","Water Supply"
"could you please look into the issue that the dustbins near Ward 7 are overflowing with waste? Regards.","Sanitation"
"It is so painful to see that the sanitation inside the hospital near our STREET is very poor. Please look into this matter as soon as possible.","Health"
"I feel helpless because public health concerns are rising due to poor waste disposal near Nehru Colony. Requesting immediate action from your department.","Health"
"my family is really struggling since a chain snatching incident occurred near the water tank area yesterday. requesting immediate action from your department.","Police"
"there is no proper parking space available near the bridge area.","Transport"
"illegal parking near the park area is causing trouble for residents. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Police"
"Immediate action required: the ambulance service near Sector 12 took too long to respond for several days. Kindly resolve this issue at the earliest","Health"
"there is a lack of medicines at the health center near the residential block","Health"
"Please resolve this on priority basis. the health camp promised near our neighbourhood was never conducted. Please look into this matter as soon as possible","Health"
"We are fed up as there is a major water leakage near Shastri Nagar since last week. Please send someone to fix this soon.","Water Supply"
"Please resolve this on priority basis. drains in our neighbourhood are completely blocked with waste. Please look into this matter as soon as possible","Drainage"
"an unauthorized electricity connection is causing overload in   the college road. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Electricity"
"I am writing to report that road maintenance near the local market has not been done for the last month. Please take strict action against those responsible","Roads"
"We are fed up as street light poles in the outskirts of the city are sparking at night. Please send someone to fix this soon.","Electricity"
"Could you please look into the issue that the sewage pipeline near our building has been leaking since the rains started?","Drainage"
"water supply to our village has become   very irregular since yesterday.","Water Supply"
"a group of people has been creating public disturbance near the apartment complex for over a week. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. requesting immediate action from your department.","Police"
"Guys please note the water coming from the tap in the main market area is dirty and smells bad.","Water Supply"
"Could you please look into the issue that we are facing severe voltage fluctuation in the water tank area? We need a permanent solution to this problem.","Electricity"
"I wish to LODGE a complaint regarding the fact that heavy rains have washed away part of the road at the local market. Thank you.","Roads"
"could you please look into the issue that suspicious activities have been noticed near the highway junction for 2 weeks now? thank you.","Police"
"burning of garbage near Sector 12 is causing air pollution. This has been a recurring issue in the area and is causing a lot of inconvenience to residents","Sanitation"
"This is an emergency situation. a huge pile of garbage has accumulated near SHASTRI Nagar.","Sanitation"
"This is an emergency situation. we have received no water supply in Shastri Nagar since last Sunday","Water Supply"
"URGENT: water supply to the industrial area has become very irregular for the past 3 days. Please help us out.","Water Supply"
"Please resolve this on priority basis. heavy rain caused the drain near the railway station road to overflow into houses. Regards.","Drainage"
"Please act fast, there is a lot of noise disturbance near the water tank area at night. Thank you.","Police"
"suspicious activities have been noticed near Shastri NAGAR for the last month. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Police"
"could you please look into the issue that the bus stop near the housing society has been broken since monday? this should have been fixed long ago.","Transport"
"Hi team, the sanitation inside the hospital near the water tank area is very poor","Health"
"suspicious activities have been noticed near the park area since last Sunday.","Police"
"Could you please look into the issue that there is a shortage of medical staff at the clinic near the highway junction? Thank you.","Health"
"construction debris has been left on the road near the corner shop area since this afternoon.","Roads"
"Could you please look into the issue that construction debris has been left on the road near Nehru Colony for 2 weeks now?","Roads"
"the drainage near the railway station road has been overflowing for several days.","Drainage"
"stray dogs near the hospital in the corner shop area are becoming a health hazard. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Health"
"Could you please look into the issue that traffic congestion near the slum area has become unbearable? Regards.","Transport"
"I feel helpless because an electric pole near the school area is damaged and leaning dangerously. Please take strict action against those responsible","Electricity"
"there is a SHORTAGE of medical staff at the clinic near the temple area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Health"
"Kindly note that mosquito control measures have not been taken near the school area for 2 weeks now. Please look into this matter as soon as possible.","Health"
"the bus conductor near the local market was rude to passengers.","Transport"
"Sir just want to say loose electric wires are hanging near the residential BLOCK, posing a safety risk. Waiting for a quick response from your side.","Electricity"
"a theft was reported near the bridge area and no action has been taken.","Police"
"the electricty bill for our village shows incorrect meter reading. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Electricity"
"we are fed up as residents of Sector 12 have not received drinking water for 2 weeks now. This should have been fixed long ago.","Water Supply"
"SIR/MADAM a chain snatching incident occurred near the slum area yesterday.","Police"
"I am writing to report that buses on the route through Ward 7 are always late since MORNING.","Transport"
"Just letting you know there are huge potholes on the road near the outskirts of the city.","Roads"
"Could you please look into the issue that the power supply to Ward 7 keeps tripping every few hours? Please send someone to fix this soon.","Electricity"
"I am writing to report that we suspect sewage is mixing with drinking water supply in Nehru Colony","Water Supply"
"Kindly note that the road divider near our lane is broken and dangerous for drivers.","Roads"
"there are huge potholes on the road near our lane.","Roads"
"This letter is to inform the department that there is a lack of medicines at the health center near the bus stand area. This should have been fixed long ago","Health"
"URGENT: illegal parking near the corner shop area is causing trouble   for residents.","Police"
"This is an emergency situation. the health camp promised near the railway station road was never conducted. Hope to see quick action on this","Health"
"Please act fast, road maintenance near the school area has not been done for the past few hours. Hope to see quick action on THIS.","Roads"
"We are fed up as there is a major water leakage near the old town area for 2 weeks now.","Water Supply"
"I would like to bring to your attention that the newly laid road near the goverment quarters is already cracking. Requesting immediate action from your department.","Roads"
"URGENT: suspicious activities have been noticed near our village for over a week. Kindly resolve this issue at the earliest","Police"
"people are dumping waste illegally near the housing society. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest.","Sanitation"
"We are suffering a lot because there are huge potholes on the road near our colony. We need a permanent solution to this problem.","Roads"
"I wish to lodge a complaint regarding the fact that road maintenance near our lane has not been done for the last few months. We need a permanent solution to this problem.","Roads"
"This letter is to inform the department that contaminated water is being supplied to   households in Model Town.","Water Supply"
"Could you please look into the issue that the water pressure in our street is extremely low? Please take strict   action against those responsible.","Water Supply"
"a large pothole near the main market area caused an accident yesterday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on THIS.","Roads"
"the SEWAGE pipeline near Ward 7 has been leaking for the last 5 days.","Drainage"
"the borewell near Sector 12 has stopped working for over a week.","Water Supply"
"This needs immediate attention. patients at the hospital near the residential block face very long waiting times. This should have been fixed long ago.","Health"
"this is to formally inform you that the government hospital near the corner shop area is extremely unclean.","Health"
"URGENT: illegal parking near the slum area is blocking the road. We need a permanent solution to this problem.","Transport"
"the road divider near the college road is broken and dangerous for drivers.","Roads"
"I feel helpless because auto rickshaw drivers near the outskirts of the city are overcharging passengers. This should have been fixed long ago","Transport"
"We are suffering a lot because burning of garbage near Shastri Nagar is causing air pollution. Regards.","Sanitation"
"This needs immediate attention. the footpath near the apartment complex is damaged making it hard for pedestrians. Thank you.","Roads"
"Just letting you know public health concerns are rising due to poor waste disposal near the temple area. Hope to see quick action on this.","Health"
"Sir just want to say mosquito control measures have not been taken near the outskirts of the city since yesterday. Please send someone to fix this soon","Health"
"This needs immediate attention. the water pipe near the temple area burst and is flooding the street. This should have been fixed long ago.","Water Supply"
"Sir just want to say the open drain near Shastri Nagar is a breeding ground for mosquitoes.","Drainage"
"waterlogging near the local market has made it impossible to walk since this afternoon. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Requesting immediate action from your department","Drainage"
"kindly note that waterlogging near Shastri Nagar has made it impossible to walk since this afternoon.","Drainage"
"the newly laid road near the industrial area is already cracking.","Roads"
"Could you please look into the issue that the ambulance service near the bridge area took too long to respond continuously since last night? This should have been fixed long ago.","Health"
"Sir/madam mosquito control measures have not been taken near Model Town for several days","Health"
"sir just want to say the government hospital near sector 12 is extremely unclean.","Health"
"I feel helpless because traffic congestion near MG Road has become unbearable. Requesting immediate action from your department.","Transport"
"We are fed up as the bus stop near Ward 7 has been broken since this afternoon. Thank you.","Transport"
"This is an emergency situation. there is no proper parking space available near the outskirts of the city. Thank you.","Transport"
"loose electric wires are hanging near Shastri Nagar, posing a safety risk. This has been a recurring issue   in the area and is causing a lot of inconvenience to residents.","Electricity"
"URGENT: the drainage cover near our building is broken, its a safety hazard. This should have been fixed long ago.","Drainage"
"illegal parking near the old town area is blocking the ROAD. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Transport"
"the sewage pipeline near the main market area has been leaking for over a week. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem","Drainage"
"Hello, the road divider near our COLONY is broken and dangerous for drivers.","Roads"
"the power supply to Gandhi Nagar keeps tripping every few hours.","Electricity"
"Could you please look into the issue that the road in the residential block is completely broken and unusable? Thank you.","Roads"
"a chain snatching incident occurred near the apartment complex yesterday.","Police"
"there is no proper parking space available near the residential block. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Transport"
"it is so painful to see that the water pressure in gandhi nagar is extremely low. this should have been fixed long ago.","Water Supply"
"people are dumping waste illegally near Ward 7. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Sanitation"
"My family is really struggling since the drainage near the apartment complex has been overflowing since morning. Kindly resolve this issue at the earliest.","Drainage"
"the sewage pipeline near the corner shop area has been leaking for the last few months. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Drainage"
"This needs immediate attention. a huge pile of garbage has accumulated near the local market. Kindly resolve this issue at the earliest","Sanitation"
"I feel helpless because stagnant water from the drain near our street is causing diseases. Hope to see quick action on this.","Drainage"
"Sir just want to say loud music from a shop near the housing society disturbs the whole NEIGHBOURHOOD.","Police"
"kindly note that there is a lot of noise disturbance near our lane at night. please send someone to fix this soon.","Police"
"could you please look into the issue that an electric pole near the industrial area is damaged and leaning dangerously? Please take strict action against those responsible","Electricity"
"the borewell near the hospital area has stopped working since this afternoon. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Water Supply"
"Could you please look into the issue that the transformer near the bus stand area is damaged and sparking for the past few hours? Requesting immediate action from your department","Electricity"
"Immediate action required: the traffic signal near Sector 12 has been malfunctioning for the past 3 days.","Transport"
"URGENT: a chain snatching incident occurred near the hospital area yesterday. Waiting for a quick response from your side.","Police"
"We are fed up as the water coming from the tap in the local market is dirty and smells bad. Regards.","Water Supply"
"I am really frustrated that water supply to the college road has become very irregular for the last few months.","Water Supply"
"could you please look into the issue that the public cleanliness near the local market has deteriorated badly? this should have been fixed long ago.","Sanitation"
"the road divider near Shastri Nagar is broken and dangerous for drivers. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Roads"
"Kindly note that BURNING of garbage near our building is causing air pollution. Please look into this matter as soon as possible.","Sanitation"
"the garbage truck has not visited Shastri Nagar since yesterday. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Sanitation"
"Hello, a chain snatching incident occurred near the panchayat office area yesterday. Kindly resolve this issue at the earliest","Police"
"the garbage truck has not visited Ward 7 since this afternoon","Sanitation"
"could you please look into the issue that the government hospital near the flyover is extremely unclean? this should have been fixed long ago.","Health"
"Could you please look into the issue that stagnant water from the drain near the main market area is causing diseases? Thank you.","Drainage"
"Could you please look into the issue that the substation near the outskirts of the city has been making loud noises for the last few months? Hope to see quick action on this.","Electricity"
"We are fed up as the power supply to our village keeps tripping every few hours. Please help us out.","Electricity"
"the water pressure in the temple area is extremely low.","Water Supply"
"We   are suffering a lot because suspicious activities have been noticed near Shastri Nagar since Monday. Please help us out.","Police"
"there is a lot of noise disturbance near Shastri Nagar at night. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side","Police"
"could you please look into the issue that a chain snatching incident occurred near the housing society yesterday? Please look into this matter as soon as possible.","Police"
"We are suffering a lot because loud music from a shop near the flyover disturbs the whole NEIGHBOURHOOD.","Police"
"Guys please note waterlogging near the local market has made it impossible to walk for the last month","Drainage"
"we suspect sewage is mixing with drinking water supply in the main market area. This has been a recurring issue in the area and is causing a lot of inconvenience to residents.","Water Supply"
"the sanitation INSIDE the hospital near the main market area is very poor. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. This should have been fixed long ago.","Health"
"To whoever reads this, heavy rains have washed away part of the road at the bus stand area.","Roads"
"We are suffering a lot because illegal parking near our block is blocking the road. Please help us out.","Transport"
"a huge pile of garbage has accumulated near our lane.","Sanitation"
"residents of our block have not received drinking water for almost 10 days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please send someone to fix this soon.","Water Supply"
"This is to formally inform you that the open drain near the industrial area is a breeding ground for mosquitoes.","Drainage"
"Kindly note that garbage has not been collected in our street for 2 weeks now. Kindly resolve this issue at the earliest.","Sanitation"
"This letter is to inform the department that waterlogging near the college road has   made it impossible to walk for the last month.","Drainage"
"I feel helpless because the bus stop near the railway station road has been broken for the last 5 days.","Transport"
"the traffic signal near MG Road has been malfunctioning since this afternoon. This has been a recurring issue in the area and is causing a lot of inconvenience to residents","Transport"
"URGENT: a pipeline near the outskirts of the city has broken and water is flooding the road. This should have been fixed long ago","Water Supply"
"the power supply to the residential block keeps tripping every few hours. This has been a recurring issue in the area and is causing a lot of inconvenience to residents","Electricity"
"I would like to bring to your attention that there   is a lot of noise disturbance near our lane at night.","Police"
"the transformer near Nehru Colony is damaged and sparking   since last week.","Electricity"
"people are dumping waste illegally near our neighbourhood. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Sanitation"
"to whoever reads this, the electricity bill for the panchayat office area shows incorrect meter reading.","Electricity"
"This needs immediate attention. the borewell near the railway station road has stopped working for 2 weeks now.","Water Supply"
"Could you please look into the issue that contaminated water   is being supplied to households in our neighbourhood? Requesting immediate action from your department.","Water Supply"
"I would like to bring to your attention that the dustbins near the government quarters are overflowing with waste.","Sanitation"
"This is an emergency situation. the bus stop near MG Road has been broken   since last week. Kindly resolve this issue at the earliest.","Transport"
"Immediate action required: construction debris has been left on the road near our colony for the last few months.","Roads"
"i wish to lodge a complaint regarding the fact that illegal parking near the corner shop area is causing trouble for residents.","Police"
"I would like to bring to your attention that water supply to our village has become very irregular since Monday.","Water Supply"
"I wish to lodge a complaint regarding the fact that a pipeline near the corner shop area has broken and water is flooding the road.","Water Supply"
"Hello, STRAY dogs near the hospital in the outskirts of the city are becoming a health hazard. Please look into this matter as soon as possible.","Health"
"Could you please look into the issue that the public toilet near the slum area is extremely unhygienic? Waiting for a quick response from your side.","Sanitation"
"the health camp promised near Nehru Colony was never conducted. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this","Health"
"the road near the hospital area has developed deep cracks","Roads"
"We are suffering a lot because a chain snatching incident occurred near the industrial area yesterday. We need a permanent solution to this problem.","Police"
"the local train service near the panchayat office area has been delayed continuously since last NIGHT. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please look into this matter as soon as possible.","Transport"
"Sir/madam auto rickshaw drivers near Model Town are overcharging passengers.","Transport"
"Just letting you know we have received no water supply in the hospital area since this afternoon.","Water Supply"
"I wish to lodge a complaint regarding the fact that the bus conductor near the industrial area was rude to passengers.","Transport"
"URGENT: the public cleanliness near the slum area has deteriorated badly. Hope to see quick action on this.","Sanitation"
"I would like to bring to your attention that the health camp promised near the hospital area was never conducted","Health"
"i am writing to report that the TRANSFORMER near MG Road is damaged and sparking for the last month.","Electricity"
"This is an emergency situation. we have received no water supply in the park area since this afternoon.","Water Supply"
"this is to formally inform you that the open drain near the government quarters is a breeding ground for mosquitoes.","Drainage"
"the sewage pipeline near our village has been leaking since this afternoon. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Drainage"
"this is an emergency situation. the road in the apartment complex is completely broken and unusable. Thank you.","Roads"
"Could you please look into the issue that traffic jams keep happening near the hospital area due to damaged roads? We need   a permanent solution to this problem.","Roads"
"This is to formally inform you that anti social elements have been loitering near the outskirts of the city since last week. Regards.","Police"
"I feel helpless because water supply to the goverment quarters has become very irregular for the last month. Please send someone to fix this soon.","Water Supply"
"Please act fast, a street fight broke out near Ward 7 last night. Waiting for a quick response from your side.","Police"
"auto rickshaw   drivers near our block are overcharging passengers.","Transport"
"My family   is really struggling since a chain snatching incident occurred near the apartment complex yesterday. Hope to see quick action on this.","Police"
"Immediate action required: people are dumping waste illegally near the school area. Regards.","Sanitation"
"the road markings near Shastri Nagar have faded completely. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Roads"
"buses on the route through Nehru Colony are always late since last week. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Transport"
"water supply to the residential block has become very irregular since morning.","Water Supply"
"auto rickshaw drivers near mg road are overcharging passengers.","Transport"
"Sir/madam traffic jams keep happening near the park area due to damaged roads.","Roads"
"a huge pile of garbage has accumulated near Shastri Nagar. This has been a recurring ISSUE in the area and is causing a lot of inconvenience to residents.","Sanitation"
"It is so painful to see that the garbage truck has not visited the main market area since yesterday. Please take strict action against those responsible.","Sanitation"
"construction debris has been left on the road near the park area since morning. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Roads"
"Kindly note that there is a lot of noise disturbance near the highway junction at night. Please send someone to fix this soon","Police"
"the dustbins near our block are overflowing with waste. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Sanitation"
"loud music from a shop near our street disturbs the whole neighbourhood. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. We need a permanent solution to this problem.","Police"
"uRGENT: mosquito control measures have not been taken near the bus stand area since Monday. Please send someone to fix this soon.","Health"
"I wish to lodge a complaint regarding the fact that the power supply to the industrial area keeps tripping every few hours.","Electricity"
"there is no proper parking space available near the temple AREA. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please help us out.","Transport"
"This needs immediate attention. the traffic signal near the apartment complex has been malfunctioning for over a week.","Transport"
"the open drain near Shastri Nagar is a breeding ground for mosquitoes. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Kindly resolve this issue at the earliest.","Drainage"
"I am writing to report that the transformer near the school area is damaged and sparking for the past 3 days. Requesting immediate action from your department.","Electricity"
"We are fed up as the health camp promised near the old town area was never conducted.","Health"
"Hi team, people are dumping waste illegally near our lane.","Sanitation"
"I would like to bring to your attention that burning of garbage near our street is causing air pollution.","Sanitation"
"Hi team, the road in Ward 7 is completely broken and unusable.","Roads"
"my family is really struggling since water supply to the housing society has become very irregular for the last few months. please take strict action against those responsible.","Water Supply"
"Hello, there is a terrible smell coming from the drain near the government quarters.","Drainage"
"Sir just want to say mosquito breeding is rampant due to uncollected trash in Nehru Colony. Waiting for a quick response from your side.","Sanitation"
"It is so painful to see that the road markings near the industrial area have faded completely. Thank you.","Roads"
"the drainage near the slum area has been overflowing since last Sunday.","Drainage"
"Hi team, heavy rains have washed away part of the road at Ward 7.","Roads"
"the sewage pipeline near the residential block has been leaking since Monday","Drainage"
"I feel helpless because the road markings near the government quarters have faded completely. Please take strict action against those responsible.","Roads"
"URGENT: stagnant water from the drain near the highway junction is causing diseases. This should have been fixed long ago.","Drainage"
"buses on the route through Shastri Nagar are always late for the last few months.","Transport"
"Could you please look into the issue that the water pipe near the railway station road burst and is flooding the street? Hope to see quick action on this.","Water Supply"
"Could you please look into the issue that the road in our building is completely broken and unusable? Please look into this matter as soon as possible.","Roads"
"public health concerns are rising due to poor waste disposal near our colony. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please send someone to fix this soon.","Health"
"This is to formally inform you that the dustbins near the park area are overflowing with waste.","Sanitation"
"there is no proper parking space available near the panchayat office area.","Transport"
"Hi team, auto rickshaw drivers near the housing society are overcharging passengers. Kindly resolve this issue at the earliest.","Transport"
"I am writing to report that mosquito control measures have not been taken near Sector 12 for the last month.","Health"
"Could you please look into the issue that the dustbins near Sector 12 are overflowing with waste? Please look into this matter as soon as possible.","Sanitation"
"Hello, patients at the hospital near the local market face very long waiting times. Requesting immediate action from your department.","Health"
"an unauthorized electricity connection is causing overload in the college road","Electricity"
"Could you please look into the issue that there is no proper parking space available near the industrial area? Please look into this matter as soon as possible.","Transport"
"the borewell near ward 7 has stopped working for almost 10 days.","Water Supply"
"the traffic signal near model town has been malfunctioning for the past 3 days.","Transport"
"the dustbins near Nehru Colony are overflowing with waste.","Sanitation"
"the local train service near Model Town has been delayed for 2 weeks now","Transport"
"Could you please look into the issue that mosquito control measures have not been taken near the railway station road for the last month? This should have been fixed long ago.","Health"
"Immediate action required: auto rickshaw drivers near the flyover are overcharging passengers. We need a permanent solution to this problem.","Transport"
"Could you please look into the issue that the buses passing through the old town area are dangerously overcrowded? Thank you.","Transport"
"the bus stop near the water tank area has been broken for several days. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Thank you.","Transport"
"I feel helpless because a large pothole near Shastri Nagar caused an accident yesterday. Waiting for a quick response from your side.","Roads"
"mosquito control measures have not been taken near the temple area since last week.","Health"
"Could you please look into the issue that the power supply to our colony keeps tripping every few hours? This should have been fixed long ago.","Electricity"
"illegal parking near our lane is causing trouble for residents. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Police"
"patients at the hospital near the industrial area face very long waiting times. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Hope to see quick action on this.","Health"
"I feel helpless because there is a lack of medicines at the health center near Model Town. Thank you.","Health"
"please resolve this on priority basis. anti social elements have been loitering near the highway junction for several days. We need a permanent solution to this problem.","Police"
"To whoever reads this, an unauthorized electricity connection is causing overload in Shastri Nagar. Please look into this matter as soon as possible","Electricity"
"the bus stop near the flyover has been broken for the last 5 days.","Transport"
"the drainage cover near Sector 12 is broken, its a safety hazard. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Waiting for a quick response from your side.","Drainage"
"Could you please look into the issue that road maintenance near the hospital area has not been done since last Sunday? Please take strict action against those responsible.","Roads"
"stagnant water from the drain near the outskirts of the city is causing diseases. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards","Drainage"
"auto rickshaw drivers near Shastri Nagar are overcharging passengers.","Transport"
"Immediate action required: traffic congestion near the local market has become unbearable.","Transport"
"Kindly note that there is a shortage of medical staff at the clinic near the government quarters. Waiting for a quick response from your side.","Health"
"Could you please look into the issue   that the sewage pipeline near our neighbourhood has been leaking since yesterday? Please look into this matter as soon as possible.","Drainage"
"We are fed up as traffic jams keep happening near our block due to damaged roads.   We need a permanent solution to this problem.","Roads"
"there is a lot of noise disturbance near our neighbourhood at night. this has been a recurring issue in the area and is causing a lot of inconvenience to residents. please help us out.","Police"
"It is so painful to see that the water pressure in the local market is extremely low.","Water Supply"
"This is to formally inform you that the electricity bill for our lane shows   incorrect meter reading.","Electricity"
"a theft was reported near the goverment quarters and no action has been taken. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Regards.","Police"
"My family is really struggling since we suspect sewage is mixing with drinking water supply in the bus stand   area. Thank you.","Water Supply"
"This is to formally inform you that the road markings near the flyover have faded completely.","Roads"
"Please resolve this on priority basis. there is a shortage of medical staff at the clinic near the slum area. Requesting immediate action from your department.","Health"
"Could you please look into the issue that heavy rain caused the drain near the school area to overflow into houses? We need a permanent solution to this problem.","Drainage"
"I am really frustrated that the water coming from the tap in the water tank area is dirty and smells bad. Please help us out.","Water Supply"
"My family is really struggling since a live wire fell near our block and no one has come to fix it since this afternoon. Please help us out","Electricity"
"URGENT: illegal parking near our building is causing trouble for residents. Waiting for a quick response from your side","Police"
"could you please look into the issue that drains in the railway station road are completely blocked with waste? kindly resolve this issue at the earliest.","Drainage"
"the public cleanliness near the outskirts of the city has deteriorated badly.","Sanitation"
"I wish to lodge a complaint regarding the fact that the sewage pipeline near the old town area has been leaking for the past few hours. Thank you","Drainage"
"My family is really struggling since a chain snatching incident occurred near the railway station road yesterday. Thank you.","Police"
"Could you please look into the issue that a huge pile of garbage has accumulated near Model Town? Please look into this matter as soon as possible.","Sanitation"
"Just letting you know waterlogging near the bus stand area has made it impossible to walk for several days. Kindly resolve this issue at the earliest.","Drainage"
"Hi team, the drainage near the HOSPITAL area has been overflowing since last Sunday.","Drainage"
"I wish to lodge a complaint regarding the fact that loud music from a shop near Gandhi Nagar disturbs the whole neighbourhood.","Police"
"heavy rain caused the drain near Model Town to overflow into houses.","Drainage"
"URGENT: we are facing severe VOLTAGE fluctuation in Sector 12. Waiting for a quick response from your side.","Electricity"
"I feel helpless because the water pressure in the government quarters is extremely low. Please send someone to fix this soon.","Water Supply"
"construction debris has been left on the road near the apartment complex for the last month","Roads"
"garbage has not been collected in the bridge area for the last month. This has been a recurring issue in the area and is causing a lot of inconvenience to residents","Sanitation"
"We are suffering a lot because there is a lot of noise disturbance near the highway junction at night. We need a permanent solution to this problem.","Police"
"URGENT: there are frequent power cuts in MG Road for the last 5 days.","Electricity"
"burning of garbage near the apartment complex is causing air pollution. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Sanitation"
"We are fed up as a theft was reported near   MG Road and no action has been taken. Requesting immediate action from your department.","Police"
"Could you please look into the issue that there is a terrible smell coming from the drain near the flyover? Thank you","Drainage"
"the bus conductor near the local market was rude to passengers. This has been a recurring issue in the area and is causing a lot of inconvenience to residents. Please take strict action against those responsible.","Transport"
"I wish to lodge a complaint regarding the fact that there is a terrible smell coming from the drain near our block.","Drainage"
